world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,1000,1,1,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.14277227222919464,0.17061282694339752,0.4485323215715599,0.5359960037335644,-1.5951811814096155,-0.03384117782115936,-0.04612301812301813,1000,0.14067557454109192,0.1706993281841278,0.4419453515178177,0.536267755395969,-1.562667496910072,0.00022796352277509868,0.007730665777049772,-0.007975420004922297,supported,-0.001374357385743574,0.0,supported,22.437538573744924,supported
octahedron,1000,1000,1000,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.003120922250673175,0.004043411463499069,0.009804666415139768,0.01270275174916943,0.9985423938835959,0.9992759823799133,0.9991590631590632,1000,0.11312368512153625,0.13678757846355438,0.3553885381248233,0.4297308516034398,-0.6455911324099559,0.08221691101789474,0.07036558636558637,0.005341514883440308,supported,0.005194849095948492,0.0,supported,19.043848147852188,supported
octahedron,1000,2000,2000,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.002806814154610038,0.003629642305895686,0.008817866728114741,0.011402857603360603,0.9988254485693118,0.9994686245918274,0.9994228954228953,1000,0.10912515968084335,0.13210870325565338,0.3428267999751506,0.41503173162323465,-0.5349403419117695,0.08525418490171432,0.07287476487476487,0.006884713865678465,supported,0.010568578413685782,0.0,supported,17.223593605011313,supported
octahedron,1000,3000,3000,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.002527096075937152,0.0033458545804023743,0.007939106467079751,0.010511312169771858,0.9990019357490997,0.9995501637458801,0.9994697674697675,1000,0.10748273879289627,0.13009002804756165,0.3376669825794736,0.4086898764195098,-0.4883897885429094,0.08666631579399109,0.07472232272232272,0.00721420684628229,supported,0.012726290791262907,0.0,supported,16.288652378817577,supported
octahedron,1000,4000,4000,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.0045266044326126575,0.0057776994071900845,0.014220747231202919,0.01815117801227847,0.9970238540446741,0.9985955953598022,0.9984844824844826,1000,0.10633577406406403,0.1282108575105667,0.3340636866134476,0.40278628806564415,-0.4457001354066157,0.08344114571809769,0.06591614991614993,0.007315311119172524,supported,0.017966985575669857,0.0,supported,15.252607028265377,supported
octahedron,1000,5000,5000,4,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.005124712362885475,0.006529337260872126,0.016099758711001798,0.02051251797156597,0.9961991339705386,0.9985032081604004,0.9984398904398905,1000,0.10475300252437592,0.12647154927253723,0.32909126317205245,0.3973220900827225,-0.4067415451384462,0.08680420368909836,0.06809006009006009,0.007790752450346698,supported,0.017787997269879976,0.0,supported,15.321008515817615,supported
