world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,3000,1,1,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.10655295103788376,0.13055415451526642,0.33474596819892855,0.4101479727207877,-0.45274694499693946,-0.004408401902765036,-0.005299760589451149,1000,0.10749989002943039,0.129595547914505,0.33772086477816915,0.40713642126615296,-0.4770964540644127,0.006442197132855654,-0.004595404609190823,-0.007220057845879081,supported,-0.004479108872791088,0.0025,supported,22.37356727434464,supported
octahedron,3000,1000,1000,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.011324262246489525,0.014807717874646187,0.03557621908089574,0.046519817691418726,0.9813110522387316,0.9913489818572998,0.9913455092606119,1000,0.09617941081523895,0.1207503080368042,0.3021565304437494,0.3793482806471286,-0.28234577535384875,0.29988178610801697,0.2890278618949455,0.17701653427874003,supported,0.17783421517434214,0.005,supported,20.665764602726075,supported
octahedron,3000,2000,2000,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.005363886710256338,0.006921109743416309,0.016851147083629236,0.021743307524605415,0.9959171819143884,0.9980072379112244,0.9979593504399277,1000,0.09321499615907669,0.11668269336223602,0.2928435471377561,0.3665694922678712,-0.19740630573444995,0.31610020995140076,0.3037985197985198,0.2099092215977402,supported,0.19428163685881636,0.0025,supported,19.426381596696633,supported
octahedron,3000,3000,3000,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.005143658258020878,0.0066294362768530846,0.01615927899597486,0.02082698830480332,0.9962540518376188,0.9981310367584229,0.9980908868989873,1000,0.09047642350196838,0.1133815199136734,0.28424006739686275,0.3561985500136412,-0.13061093680174674,0.33160340785980225,0.31840673440673445,0.2488824158445017,supported,0.2122088412100884,0.0025,supported,18.27544197807716,supported
octahedron,3000,4000,4000,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.003057583700865507,0.003963662311434746,0.009605682492374968,0.012452212398914137,0.9986609344347211,0.999352216720581,0.9993467288163029,1000,0.08966821432113647,0.11205743253231049,0.28170100337179743,0.3520388068236405,-0.10435820753311686,0.3436006009578705,0.33051180651180656,0.26998262192565015,supported,0.22215586660955866,0.005,supported,18.36288088862655,supported
octahedron,3000,5000,5000,2,0,0,0,0,0,held_out_pairs,,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,3000,0.0030641374178230762,0.00397540582343936,0.009626271601422575,0.012489105729955175,0.9986529876939344,0.9993737936019897,0.9993438670382073,1000,0.0889711007475853,0.11082858592271805,0.2795109564904113,0.3481782713425562,-0.0802698537098594,0.3478109538555145,0.33631554031554034,0.2865823287517252,supported,0.2282024608700246,0.01,supported,17.70323574979617,supported
