world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,40000,1,1,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.14070409536361694,0.17019644379615784,0.44203495232433665,0.5346878974971175,-1.5040933546566264,0.0011040826793760061,0.0009879083721779788,1000,0.14092102646827698,0.17091594636440277,0.44271646148907173,0.5369482814797548,-1.569175804488414,-0.0019143287790939212,0.008154848154848156,-0.00796179628133764,supported,-0.0013742222537422226,0.0,supported,22.858540308134785,supported
octahedron,40000,1000,1000,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.006226516328752041,0.008101332932710648,0.0195611779558643,0.025451088025688823,0.9943263508106641,0.9971746206283569,0.9978595060741681,1000,0.00641527958214283,0.008365250192582607,0.02015419520598451,0.02628020855045812,0.9938455887493324,0.9969240427017212,0.9975154815154816,0.8471794438592554,supported,0.9189782585257825,0.12,supported,15.387046355037963,supported
octahedron,40000,2000,2000,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.00597773352637887,0.007707410026341677,0.018779603731589267,0.024213542716959326,0.9948646922587292,0.9975375533103943,0.9980003829515375,1000,0.006175424437969923,0.008061140775680542,0.01940066804712519,0.025324820640431116,0.9942849293648671,0.9972749352455139,0.9978686898686899,0.8811482500545168,supported,0.9406418678624187,0.2,supported,14.671707644448858,supported
octahedron,40000,3000,3000,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.0075013525784015656,0.009232915006577969,0.02356619415229321,0.029006057955884304,0.9926306840729763,0.9976574182510376,0.9980136943596868,1000,0.007459783460944891,0.009106545709073544,0.02343560091827511,0.0286090570992051,0.9927064995448144,0.9976350665092468,0.9978596538596539,0.9034854613265029,supported,0.9495915038679151,0.245,supported,12.736396739777396,supported
octahedron,40000,4000,4000,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.004721804056316614,0.0059582567773759365,0.014833984935014762,0.01871841572000584,0.9969310629699536,0.9987437725067139,0.9989383817628317,1000,0.004811242688447237,0.0059972479939460754,0.015114964684663446,0.018840910239537115,0.9968367564142635,0.9986689686775208,0.9988313428313428,0.9216026023278012,supported,0.9546425977024261,0.3025,supported,11.592149587495172,supported
octahedron,40000,5000,5000,4,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.00538159953430295,0.006849304307252169,0.0169067935615284,0.021517724093864342,0.9959445185217471,0.9984710216522217,0.9987535317050428,1000,0.005644093733280897,0.0072183129377663136,0.017731443408647456,0.02267699889659881,0.9954175255216812,0.9982254505157471,0.9985327075283058,0.9327342211019257,supported,0.9564505773605059,0.36,supported,10.22297213715238,supported
