world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,1000,1,1,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.09090318530797958,0.10963740199804306,0.2855807791514603,0.34443605667572297,-0.0716719724833279,-0.015021429397165775,-0.02202566202566203,1000,0.09187197685241699,0.11050987988710403,0.28862432755032474,0.34717702680241647,-0.07406575809587967,-0.01618427224457264,-0.017360513360513363,-0.011304637493588673,supported,0.021044266530442664,0.0,supported,23.071212066929363,supported
octahedron,1000,1000,1000,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.004179071635007858,0.0053032985888421535,0.013128940747366173,0.016660803886499626,0.9974925254235159,0.9988183379173279,0.9987412227412229,1000,0.1185149997472763,0.14250311255455017,0.37232585254623946,0.4476867315150542,-0.7859832345406308,0.0462990365922451,0.040101028101028106,0.0002037463209591285,supported,0.024008109180081092,0.0025,supported,20.493195648185353,supported
octahedron,1000,2000,2000,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.0006228652782738209,0.000785881478805095,0.001956788982401198,0.002468919480406369,0.9999449371763839,0.9999738931655884,0.999961035961036,1000,0.11370892822742462,0.13728703558444977,0.35722713356684627,0.4312999424252279,-0.6576306123626643,0.044910818338394165,0.04084938484938485,-0.00013427146179910212,supported,0.023564603587646036,0.0025,supported,18.86361932308408,supported
octahedron,1000,3000,3000,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.004673002287745476,0.005887314677238464,0.014680669657389483,0.018495544539383724,0.9969098550258789,0.9984620213508606,0.9983596583596583,1000,0.111487478017807,0.1347394585609436,0.350248241907996,0.4232964931637268,-0.5966815314233263,0.04260583221912384,0.03947913947913948,0.0012383887686350434,supported,0.02171280271312803,0.0025,supported,18.539858666125614,supported
octahedron,1000,4000,4000,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.0023684368934482336,0.0029251540545374155,0.007440663944948002,0.009189642488353142,0.9992371452652664,0.999794065952301,0.9997522357522359,1000,0.10993851721286774,0.13302767276763916,0.3453820380225003,0.4179187594909622,-0.5563690427463521,0.04767025634646416,0.044297000297000295,0.002554527963675526,supported,0.021170386687703865,0.005,supported,17.23901874487232,supported
octahedron,1000,5000,5000,1,0,0,0,0,0,held_out_pairs,,787df17189c671f8ca6c69ceed3eba499f2c8b637dda4f819fe47a11ece7c80f,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,1000,0.006572362035512924,0.00824661087244749,0.02064768428749986,0.02590749213389475,0.9939368911815576,0.9974982738494873,0.9973497493497494,1000,0.10883556306362152,0.13170167803764343,0.341917005369982,0.4137530241885088,-0.5254966027567123,0.059572868049144745,0.055525639525639534,0.0027853297703023354,supported,0.021435702562357026,0.005,supported,16.00346963701711,supported
