world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,40000,1,1,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.1052018404006958,0.12897895276546478,0.33050132894695183,0.40519933047568907,-0.43809394665764767,0.00607296684756875,0.0037402480379602914,1000,0.1020788848400116,0.12687717378139496,0.32069027470001893,0.39859639705986594,-0.41577966834102065,0.046661071479320526,0.04452362052362053,-0.013643083869746081,supported,0.013240949640409496,0.0,supported,20.97334246474261,supported
octahedron,40000,1000,1000,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.006048855371773243,0.00801817886531353,0.019003039598589976,0.025189851818437928,0.994442223852068,0.9972943067550659,0.9979888690987192,1000,0.006167983170598745,0.008129213936626911,0.019377290616218498,0.025538678782766867,0.9941879982341112,0.9971633553504944,0.99779722979723,0.8388982111770117,supported,0.8858044810940449,0.1325,supported,15.076568799185507,supported
octahedron,40000,2000,2000,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.005259944591671228,0.006745881401002407,0.016524603287483695,0.021192811451377185,0.996066067451677,0.998380720615387,0.9986857847618286,1000,0.005512911360710859,0.007051477208733559,0.017319321830700944,0.02215286899591321,0.9956269051777514,0.998142421245575,0.9985013065013065,0.8726927085217773,supported,0.906905107257051,0.19,supported,14.009108508315382,supported
octahedron,40000,3000,3000,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.004943631123751402,0.00629377318546176,0.015530875220435258,0.019772471602807096,0.9965757009764323,0.9983016848564148,0.9985444285067714,1000,0.005187960807234049,0.006630009040236473,0.01629845955911826,0.02082878769404082,0.9961340443770775,0.9980707168579102,0.9982060702060702,0.8940529082658163,supported,0.9162408303664082,0.255,supported,13.374358130851581,supported
octahedron,40000,4000,4000,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.00488606933504343,0.006250374019145966,0.015350039527902806,0.019636129100737476,0.9966227631120048,0.9987727403640747,0.9989606558117042,1000,0.005171621683984995,0.0066358717158436775,0.016247128689552935,0.020847205832658793,0.9961272040374891,0.998558759689331,0.998789678789679,0.9114507005733449,supported,0.9207360336993604,0.3025,supported,12.309553283700028,supported
octahedron,40000,5000,5000,0,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.0036314567551016808,0.004629672504961491,0.011408557863656469,0.014544545130113674,0.9981471081100892,0.9990731477737427,0.9992059369710317,1000,0.0039267390966415405,0.0050201695412397385,0.012336214698572885,0.015771327750534005,0.997783512096829,0.9988919496536255,0.9990566070566071,0.9257987598452333,supported,0.9239470021434699,0.3275,supported,10.354714593967161,supported
