world,supervision_budget,checkpoint,optimizer_updates,model_seed,world_seed,data_order_seed,pair_split_seed,held_out_point_seed,held_out_point_count,evaluation_protocol,recovery_anchor_count,pair_split_digest,held_out_pair_digest,point_split_digest,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,cv_probe_r2_mean,coordinate_probe_status,embedding_distance_spearman,nearest_recall,distance_geometry_status,embedding_intrinsic_dimension,intrinsic_dimension_status
octahedron,40000,1,1,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.13016921281814575,0.15731926262378693,0.408938642713053,0.49423303972705235,-1.1395051462406087,0.0018695800099521875,0.001486489637348754,1000,0.13104884326457977,0.1567922830581665,0.41170208326144403,0.49257748459510725,-1.1621111756756575,-0.00545955216512084,-0.009176049176049177,-0.010547843154154222,supported,0.006322319127223191,0.0025,supported,21.861754798126608,supported
octahedron,40000,1000,1000,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.006832748185843229,0.008954113349318504,0.021465711504474076,0.02813017671762931,0.9930690184829499,0.9968992471694946,0.9976867965497933,1000,0.00680208345875144,0.009003818966448307,0.021369375423118175,0.028286331519246446,0.9928701205464022,0.9967823028564453,0.9975430215430217,0.8551762786604531,supported,0.8806404675344046,0.14,supported,15.603628275605617,supported
octahedron,40000,2000,2000,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.005963427945971489,0.007650814019143581,0.0187346614252761,0.024035741116523273,0.9949398331804965,0.9981545805931091,0.9985402023166745,1000,0.006138154771178961,0.008105629123747349,0.01928358193573296,0.02546458490788814,0.9942216730968174,0.9978258013725281,0.9983479343479343,0.8791871575225819,supported,0.901384394197844,0.1825,supported,13.763852988276495,supported
octahedron,40000,3000,3000,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.004608393646776676,0.005924742668867111,0.014477695625563482,0.0186131280429229,0.9969654903215813,0.9985374808311462,0.9988112362173452,1000,0.005017952527850866,0.0064379991963505745,0.015764362797558613,0.020225570979071957,0.996354723797113,0.9982683062553406,0.9986134946134947,0.8970673635407926,supported,0.9114272651462727,0.2575,supported,12.719349376034149,supported
octahedron,40000,4000,4000,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.003932134248316288,0.005026062484830618,0.012353164067439274,0.01578984097882713,0.9978162380225484,0.9989128112792969,0.9990792499788737,1000,0.003993882331997156,0.005248683504760265,0.012547151393504336,0.01648922553957278,0.9975771337306716,0.998792827129364,0.998973062973063,0.9152082264473256,supported,0.9195786085837862,0.3,supported,10.737784767381713,supported
octahedron,40000,5000,5000,3,0,0,0,0,0,held_out_pairs,,ce5ef40a4190f01f98ecda7a5fff4e9621ae74cd47f2ac33a9f7483169322f91,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,40000,0.0039602601900696754,0.005085467826575041,0.01244152431942701,0.0159764683640354,0.9977643112813228,0.9991404414176941,0.9992919970805073,1000,0.004065930377691984,0.005188480019569397,0.01277349700456471,0.016300090712776643,0.9976323965517864,0.99906986951828,0.9992120552120553,0.9269897850200006,supported,0.9250365398503654,0.355,supported,9.987476671454703,supported
