pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss
0.2956928641490711,0.011198951817261308,-0.009477843872362866,0.00571444123969941,-0.010636694300549159,0.0025,11.32967715105562,1,0.1931304931640625
0.6534391032146291,0.3007556873431953,0.21140524047669024,0.009046001104572616,0.2570106305122605,0.0075,9.338052561433143,500,0.015373246744275093
0.6957782935669666,0.5501834529030581,0.4763865991743783,0.026476213273494083,0.43274944996221176,0.03125,8.41962643022667,1000,0.005914987064898014
0.6791322910040998,0.76126155848183,0.6732026910917898,0.02711833958611172,0.4941913836806687,0.06375,8.290776404292545,1500,0.00394184747710824
0.6728191897007312,0.8559480096570912,0.7786753568681867,0.02313053185446085,0.5793745792794446,0.1225,7.044565205039175,2000,0.00031244487036019564
0.6798530209441502,0.86250062032994,0.7893083043572556,0.02547165420962589,0.6002852134328118,0.13375,6.813566409023355,2500,0.000193547282833606
0.6870482013493493,0.8678407523580284,0.7975021766666077,0.0253417262476564,0.6146065902050847,0.16125,6.809880452140801,3000,0.00014689771342091262
0.6939197618482964,0.8697679181372232,0.8026450259171071,0.0260959847948889,0.6266659097865239,0.1725,6.621087176742727,3500,7.744549657218158e-05
0.7006986970260519,0.8717004320399891,0.8073804688445007,0.025689551329932805,0.6366851821474272,0.185,6.348689931492242,4000,8.130881178658456e-05
0.7073153490720205,0.8733518369118223,0.8117229403889032,0.02693735828435077,0.6451362483032071,0.20625,6.132079553034505,4500,0.00011650269152596593
0.7136235074556229,0.8755526094470882,0.8168729878375712,0.027061986414516254,0.6530026733763163,0.21125,6.233131731879843,5000,0.0001219936239067465
0.7205234986073601,0.8775716287144812,0.8219890505332919,0.027088335481955068,0.6599785809926001,0.23,6.124186481509428,5500,6.457418930949643e-05
0.7268828328335553,0.87981948675977,0.8271595130359557,0.026770882756961267,0.6658142628371836,0.24,6.02632883923229,6000,9.403296280652285e-05
0.7324492390518095,0.8814633532006585,0.8317858331016408,0.027005055288522487,0.6705733261829716,0.26375,6.2817374675737065,6500,8.429861918557435e-05
0.7367860600878253,0.8830975647326841,0.8363072386370775,0.027237798024776144,0.6755219904826071,0.28375,5.892601387867903,7000,7.79543915996328e-05
0.7416454887751807,0.8835195662215073,0.8397341104089922,0.02683316524788746,0.6794194088447301,0.28875,5.922577895313702,7500,0.0001005583762889728
0.7452897858776828,0.8849424184771518,0.8431313722959975,0.025401682019225172,0.6809275045783537,0.31125,5.632313371560469,8000,0.00010150266462005675
0.7481556217989316,0.8855780635974227,0.8465741088226169,0.02563564400791754,0.6841207489060692,0.31,5.3804111590121115,8500,6.089257658459246e-05
0.7508639626600262,0.8863143439167818,0.849291579529402,0.025318100970505974,0.6862817943869008,0.3325,5.319431491994689,9000,6.58397693769075e-05
0.7532339565169195,0.886324042735245,0.8514453718403537,0.0259233390703219,0.6871370785623391,0.31875,5.5338568439465,9500,6.442800804506987e-05
