pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss,same_triangle_held_out_loss,same_triangle_held_out_accuracy,same_triangle_held_out_auc,same_triangle_in_distribution_loss,same_triangle_in_distribution_accuracy,same_triangle_in_distribution_auc
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,1,0.6645761132240295,0.620478630065918,0.8762515783309937,0.5326051357543837,0.6205930113792419,0.8652690649032593,0.5346368406005455
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,500,0.039073653519153595,0.4570022523403168,0.8862953782081604,0.9069958972018497,0.039811067283153534,0.9892678260803223,0.999250214926127
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,1000,0.004986888729035854,0.7265034317970276,0.8923967480659485,0.9066721199099583,0.009906900115311146,0.998998761177063,0.9999924755280827
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,1500,0.0024059140123426914,0.9759199619293213,0.8891113996505737,0.9066519546468924,0.0033195132855325937,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,2000,0.0012050543446093798,1.1436513662338257,0.8896120190620422,0.9064953680160509,0.000944289262406528,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,2500,0.00026353512657806277,1.2492777109146118,0.8901126384735107,0.9069058961161667,0.0004536147171165794,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,3000,0.00025026866933330894,1.333640694618225,0.8903316855430603,0.9073879574060167,0.00025065106456167996,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,3500,0.00012697298370767385,1.4281935691833496,0.8895807266235352,0.9065350394581425,0.00015223576338030398,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,4000,0.00014635499974247068,1.4899317026138306,0.8901752233505249,0.9068078054510315,9.476557897869498e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,4500,2.847000359906815e-05,1.559949517250061,0.8894242644309998,0.9066348997187834,6.444947939598933e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,5000,4.07644547522068e-05,1.6147303581237793,0.8896433115005493,0.906584714531968,4.309657742851414e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,5500,3.0068862542975694e-05,1.6672486066818237,0.8897371888160706,0.9068031376914587,3.0411398256546818e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,6000,2.6635358153725974e-05,1.7200573682785034,0.8895494341850281,0.9067838346547743,2.24376235564705e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,6500,1.7059890524251387e-05,1.7662525177001953,0.8896433115005493,0.90693871488995,1.5357112715719268e-05,1.0,0.9999999999999999
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,7000,1.3523382222047076e-05,1.8253904581069946,0.8891739845275879,0.9065852201306837,1.0954385288641788e-05,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,7500,5.779263119620737e-06,1.8650610446929932,0.8891426920890808,0.9068410666236907,7.4423683145141695e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,8000,4.668843757826835e-06,1.9120322465896606,0.8892678618431091,0.9068329770442383,5.502798558154609e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,8500,5.224324013397563e-06,1.9463564157485962,0.889518141746521,0.9070204819394044,4.0295326471095905e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,9000,2.211636001447914e-06,1.9951159954071045,0.8889549374580383,0.9069351440990197,2.97656379188993e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,9500,4.116758191230474e-06,2.0377378463745117,0.8890801072120667,0.9069178589429239,2.1684290913981386e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,10000,1.2811617580155144e-06,2.0735557079315186,0.8894242644309998,0.9071231681357244,1.6372148365917383e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,10500,9.633763511374127e-07,2.1142044067382812,0.8891113996505737,0.9072073142077076,1.2343431308181607e-06,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,11000,4.7626548393964185e-07,2.1607439517974854,0.8889236450195312,0.9071552465685309,9.8914631507796e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,11500,5.323179266270017e-07,2.1924383640289307,0.8892990946769714,0.9074092692947416,6.735807005497918e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,12000,5.212112910157884e-07,2.235760450363159,0.8893616795539856,0.9073636886676594,4.987260240341129e-07,1.0,0.9999999999999999
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,12500,3.78405388801184e-07,2.2833199501037598,0.8887671828269958,0.9072953831840124,3.932551635443815e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,13000,3.0040212095627794e-07,2.32119083404541,0.8890175223350525,0.9073650610070308,2.843786717221519e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,13500,2.689018856472103e-07,2.357701539993286,0.8887671828269958,0.9073921511667932,2.0961559243914962e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,14000,1.256493789014712e-07,2.4004597663879395,0.8889549374580383,0.9073531342944674,1.595850847024849e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,14500,1.0952738449532262e-07,2.4376003742218018,0.8890488147735596,0.9074326938638148,1.2954492945027596e-07,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,15000,5.527811097749691e-08,2.473658561706543,0.88882976770401,0.9074661446359926,8.359453573802966e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,15500,9.716108451129912e-08,2.519718885421753,0.8886420726776123,0.9073828562761164,6.382197170751169e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,16000,4.3562060625390586e-08,2.551806688308716,0.8887358903884888,0.9075709660840318,4.7357502808154095e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,16500,4.0624936303856884e-08,2.6000185012817383,0.8884543180465698,0.9073740173271388,3.437016360408052e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,17000,1.713307185013946e-08,2.637769937515259,0.8884543180465698,0.9074517395868671,2.6791225238298466e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,17500,1.0888065560266114e-08,2.6736257076263428,0.8882665634155273,0.9073983808652555,1.8703355308957725e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,18000,1.611298472425915e-08,2.7073323726654053,0.8882978558540344,0.9074978890125047,1.3943131982330215e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,18500,7.490556619416111e-09,2.7348785400390625,0.8888610601425171,0.9077108995571723,1.1662230292586173e-08,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,19000,7.040473093411492e-09,2.775480270385742,0.8887984752655029,0.9077786452708123,7.907500432224879e-09,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,19500,6.6716769886454586e-09,2.803579807281494,0.8889549374580383,0.9078662176769499,5.66793811884736e-09,1.0,1.0
0.6384605948377936,0.9764009732410888,0.973268042556732,0.0008827841670123156,0.8266027212690232,0.565,5.851101389782484,20000,1.7298651400210474e-09,2.840437412261963,0.8891426920890808,0.9078910100711202,2.9995401717997083e-09,1.0,0.9999999999999999
