pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss,held_out_loss,held_out_spearman,in_distribution_loss,in_distribution_spearman
0.2738083851481935,0.5221305118196821,-0.2068572748234867,0.22569290426193828,-0.0058125044471295855,0.0,13.546019156733252,1,0.1666504144668579,0.07358881831169128,-0.0501187954570238,0.06345285475254059,0.16177598012002004
0.6015253822035186,0.9867263222936018,0.07310671789317495,0.17331508742361376,0.8243895470096684,0.5,8.252307243553462,500,7.84173680585809e-05,0.0001911973813548684,0.9960742975537059,7.730570359854028e-05,0.998043725381341
0.610879639817862,0.9882894595503168,0.0900070312865903,0.16970042060812465,0.8318365062174949,0.58,7.785497469330057,1000,7.543148240074515e-05,0.0003535572031978518,0.9923336450543748,0.00022259284742176533,0.9958693525788456
0.616227120234272,0.9883838453747535,0.10565551620340038,0.1661831641755766,0.8364261724265561,0.64,7.478860332974137,1500,1.2592427992785815e-05,0.00012744605191983283,0.9977463560030533,1.4158360500005074e-05,0.9995902397758213
0.6243011962578244,0.9882166709418897,0.12521404002022143,0.16248977502484427,0.8386717166475073,0.66,7.0126984906701795,2000,5.4209707741392776e-05,0.00016664645227137953,0.9967484080747866,5.273242277326062e-05,0.998691410896978
0.6412889405841744,0.9876416082052913,0.16138915992511477,0.15559009636862353,0.8407264178101909,0.66,6.364127358822387,2500,9.178847540169954e-05,0.00015252454613801092,0.9966889277346912,5.332116415956989e-05,0.9984138313902765
0.6403479813843808,0.9880640921289495,0.1724846358576611,0.15285319153814714,0.8414482987322173,0.66,6.36467902975209,3000,9.109026905207429e-06,0.0001299904251936823,0.9975546971294127,9.219952517014463e-06,0.9996959843498029
0.6485901579923199,0.9875188973665533,0.19759540584593743,0.1474597142123653,0.841076319597986,0.64,6.209777706784445,3500,7.431762787746266e-05,0.00021925754845142365,0.9973564293290949,9.977016452467069e-05,0.9983411319956643
0.6539202857006049,0.9873856938323542,0.21902199405712083,0.1439857546075037,0.8408336972635709,0.62,6.039584413663185,4000,4.0782251744531095e-06,0.00013452772691380233,0.9977000935163125,4.5923920879431535e-06,0.9997224204932983
0.6641745355244043,0.9865567841776146,0.24918479142376201,0.13763201805019404,0.8393350292808802,0.64,6.048007666426063,4500,6.320401735138148e-05,0.00020024341938551515,0.9962395207206373,6.99845259077847e-05,0.9985658392153751
0.6665315239131013,0.9868368634430396,0.26462114088324945,0.13456907528300738,0.8388029600094523,0.62,5.767407863615956,5000,1.573669578647241e-05,0.00016170153685379773,0.9969995472885226,1.0897745596594177e-05,0.999339096412615
0.6798158417974526,0.9856717997449551,0.3109310071066135,0.12537218047733156,0.8340456378309887,0.64,5.390303799455974,5500,2.014450274145929e-06,0.00014892348553985357,0.9971779883088088,2.8467291031120112e-06,0.9998744283183968
0.6804375585080364,0.9851519852683059,0.3193874776976859,0.12381188760659986,0.8337208096941876,0.64,5.402095825945427,6000,4.369830548967002e-06,0.0001582619152031839,0.9969863294351681,2.2181507119967137e-06,0.9998479921749014
0.6857378169164093,0.98465817922017,0.34468236602786095,0.11852151164107803,0.8339329859186742,0.64,5.358709063592039,6500,2.494949512765743e-05,0.0001682259317021817,0.9971449436754223,1.950841942743864e-05,0.9996232849551905
0.6939646331954041,0.9846393173145077,0.3817476753662084,0.11162100448948778,0.832465162247607,0.62,5.273662557766896,7000,4.014331352664158e-06,0.00015003814769443125,0.9970524187019406,5.852182766830083e-06,0.9997951198879106
0.6984083076314334,0.9846245398129422,0.40093945794421526,0.10890793552050582,0.8333736692066711,0.62,5.191637670505768,7500,1.1226709830225445e-05,0.00021769492013845593,0.9967153634414003,3.5183369618607685e-05,0.9994977132735875
0.6996734294700873,0.9846427658880497,0.41479330880096904,0.10580289273667337,0.8317750917659069,0.6,5.24541481868177,8000,8.515203262504656e-07,0.0001581246906425804,0.9969665026551363,8.302337732857268e-07,0.999947127713009
0.7054190821204345,0.984445069572682,0.44391179773214173,0.10001052952279295,0.8293717813389629,0.62,5.15231554392628,8500,7.596157161060546e-07,0.0001491803996032104,0.9972506865022586,5.763903914157709e-07,0.9999206915695136
0.7096921267950447,0.9845269464934707,0.4682341010638213,0.09568179831751657,0.8286595290644806,0.68,5.049282969554946,9000,4.228469333611429e-05,0.00015310799062717706,0.9964179617409233,4.687640102929436e-05,0.9989425542601843
