pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss,distance_held_out_loss,distance_held_out_spearman,distance_in_distribution_loss,distance_in_distribution_spearman,same_triangle_held_out_loss,same_triangle_held_out_accuracy,same_triangle_held_out_auc,same_triangle_in_distribution_loss,same_triangle_in_distribution_accuracy,same_triangle_in_distribution_auc
0.12830461251531575,0.04496124354505603,-0.006565516496091467,0.005802758379128241,-0.00289306291108887,0.0,21.31397551054092,1,0.13050968945026398,0.06828894466161728,-0.0026579559363207354,0.06837325543165207,0.0005562278541809569,0.6283537149429321,0.8762515783309937,0.4941449908145804,0.6284145712852478,0.8762202858924866,0.4944312312237931
0.5729989543311282,0.6789267191050938,0.6336690786139673,0.021293894010773244,0.6680099997940819,0.025,17.959987222279096,500,0.006027499213814735,0.00739660020917654,0.7905034527651553,0.0073271142318844795,0.7952169774451695,0.2881529629230499,0.8804755806922913,0.8352032495551747,0.28654810786247253,0.881445586681366,0.8379042413267843
0.6165295896001104,0.9572594027941619,0.9262288047701223,0.0029919315877550063,0.794641086078554,0.09875,16.8697650082059,1000,0.0001785674103302881,0.0002042426058324054,0.9962703283613863,0.00019672531925607473,0.9963235261038305,0.17881113290786743,0.9246557950973511,0.950559979920508,0.1765124350786209,0.9251877069473267,0.952122558975758
0.6334156209710889,0.9592109963531693,0.9319365534334754,0.003907012702049696,0.8103155729880928,0.1175,16.364174076532077,1500,9.492470417171717e-05,9.90705520962365e-05,0.9980337336205064,9.577076707500964e-05,0.9980869238743988,0.15721283853054047,0.9316332936286926,0.964040907450381,0.15604785084724426,0.9316958785057068,0.9642466846062292
0.6462997214350301,0.9601343628279962,0.9350791587338284,0.0038245704693150974,0.8214026429842571,0.1425,15.328149724064893,2000,7.745329639874399e-05,8.174585673259571e-05,0.998469561874369,7.808254304109141e-05,0.9985199129500777,0.13234907388687134,0.9416458010673523,0.9741536943353308,0.1314142495393753,0.9432728290557861,0.9741717617546763
0.6584087851516911,0.9609154028861459,0.937822182445753,0.0031312751643713995,0.8306805241442246,0.14875,15.06253430218641,2500,6.13759839325212e-05,7.409079989884049e-05,0.9985611155960317,7.207936141639948e-05,0.998592842961602,0.1231565922498703,0.9449937343597412,0.9774635240997916,0.12150239199399948,0.9474655985832214,0.9777924618308897
0.6715711913525333,0.9617316388201542,0.9406649666710589,0.003146292696006478,0.8398492546264202,0.16625,14.785945298133255,3000,6.253707397263497e-05,6.504488555947319e-05,0.9986702140403305,6.16594625171274e-05,0.9987291357469255,0.12822718918323517,0.9426157474517822,0.980853464175058,0.12706832587718964,0.9446495771408081,0.9808701133118496
0.6842569486663302,0.9624959971263768,0.943023442791888,0.0029472526083791583,0.8465384535673294,0.18,14.559948544187016,3500,6.500096060335636e-05,6.289681186899543e-05,0.9986918356088851,6.127901724539697e-05,0.9987277896583407,0.1003088429570198,0.9556946158409119,0.9857717930539314,0.09917337447404861,0.956038773059845,0.9859684072649451
0.6964331519043012,0.9630625534453007,0.9450754327473414,0.0025448936922706656,0.8524159899769279,0.1925,13.678571401875484,4000,4.986342173651792e-05,6.584627408301458e-05,0.9985869852497468,6.42184168100357e-05,0.9986234199265693,0.09921559691429138,0.9556633234024048,0.9863995119166682,0.09964346140623093,0.9556320309638977,0.9860158465012003
0.7092986355030348,0.9635825351663856,0.9469530756298624,0.0024211117248098225,0.8561938907012434,0.21,12.977042216106042,4500,4.4026361138094217e-05,5.278738171909936e-05,0.9989688678765389,5.131022771820426e-05,0.9990090951728118,0.09309273213148117,0.9588235020637512,0.9875026560861108,0.09299010783433914,0.9589173793792725,0.9874695424848307
0.7211253776445739,0.9643595174733843,0.9489257253462313,0.002997824746878402,0.8599877828615274,0.22375,12.484121359263943,5000,5.082995630800724e-05,6.926461355760694e-05,0.9990371682142495,6.766644219169393e-05,0.9990697353865772,0.09603710472583771,0.9569149017333984,0.9875910184902417,0.09574271738529205,0.9576032757759094,0.9875330039158063
0.7314220560767072,0.9649561465083002,0.9503772429074802,0.002496601232926577,0.8628249725947291,0.23875,12.124632751148189,5500,5.954537118668668e-05,6.393666990334168e-05,0.9988391447307506,6.163201032904908e-05,0.998870224691178,0.07647605985403061,0.9668022394180298,0.9919492162204193,0.07600785046815872,0.9662390351295471,0.9920751968265692
0.7392288412049042,0.9661616540941932,0.952333356609443,0.0018139972012315522,0.8658210377030569,0.26125,11.90785701054279,6000,2.9796505259582773e-05,4.764849290950224e-05,0.9991445952427475,4.564106711768545e-05,0.9991780040442976,0.08821485191583633,0.9606382846832275,0.9898132151315765,0.08785662800073624,0.9620776176452637,0.9898907082319166
0.7456294304132559,0.9660286737356525,0.9531446344228881,0.0017441662791526182,0.8660900667835737,0.27375,11.385704840780354,6500,5.5826687457738444e-05,6.512622348964214e-05,0.9987983189108104,6.23889864073135e-05,0.9988403777933675,0.09144987910985947,0.9603254199028015,0.9895428552468619,0.0935974046587944,0.9598873853683472,0.989094842943858
0.7509387182460325,0.9672296636335028,0.9548465238757903,0.0021207398088198587,0.8680372119672655,0.295,11.368770265894339,7000,6.341164407785982e-05,4.908409027848393e-05,0.9990208118840783,4.7908972192090005e-05,0.9990270798206092,0.08048281818628311,0.9647997617721558,0.9907479768715673,0.078302763402462,0.9659261703491211,0.9912560970995188
0.7549945566328398,0.9685535357161196,0.9566034375153244,0.0019175630072905772,0.8705647847992034,0.31,11.000234185738357,7500,4.2936204408761114e-05,7.83005089033395e-05,0.9990844876257671,7.719782297499478e-05,0.9991077357839767,0.06631777435541153,0.9713391661643982,0.994120193906136,0.06692977994680405,0.970963716506958,0.9939735606165752
0.7577987987127128,0.9690126641943497,0.9576599805049255,0.0015793107294313129,0.8705367680999546,0.3225,10.563123264815337,8000,3.6068220651941374e-05,5.040757969254628e-05,0.9990069904990323,4.973019895260222e-05,0.9990271989309605,0.07178296148777008,0.9676783680915833,0.9936238945953076,0.06881587952375412,0.9698686003684998,0.9939993315269565
0.7590214562391393,0.9697834049672335,0.9587762203666017,0.0012982824203497834,0.871490539192555,0.33375,10.895248477338365,8500,4.886229362455197e-05,3.8256395782809705e-05,0.9991457490058793,3.744527930393815e-05,0.9991611768117077,0.0645974650979042,0.9713704586029053,0.994570276077213,0.063204824924469,0.9722152948379517,0.9947979860308849
0.760277103147512,0.9701464493543711,0.9595976506510672,0.0015890163208127771,0.8709440068603169,0.3425,10.009179446024707,9000,4.329816874815151e-05,6.067204230930656e-05,0.9990236417390024,6.001660949550569e-05,0.9990359046973887,0.05777599290013313,0.9760012626647949,0.9953015433626513,0.05610466003417969,0.9759073853492737,0.9955989829345483
0.7609008872421441,0.9711013136288367,0.9608580680351972,0.0014020782030761327,0.8725948634903045,0.35625,9.872605474903242,9500,4.426481245900504e-05,4.642820931621827e-05,0.9991225539272136,4.484717646846548e-05,0.9991511726976942,0.057173341512680054,0.9748748540878296,0.995690375860731,0.05478053167462349,0.9765018820762634,0.9960606523205049
0.7607977512773847,0.9715779497948681,0.961796407238209,0.0015137957886627088,0.8725308926952544,0.36875,9.681499954820492,10000,1.8782673578243703e-05,2.6497171347728e-05,0.9995092968964984,2.5859162633423693e-05,0.999525793540699,0.051989514380693436,0.9787859916687012,0.9963071882368847,0.05156794935464859,0.9785043597221375,0.996383542420417
0.7594566148228202,0.9722211053125804,0.9627199548098035,0.0013847212688501706,0.8729526980233775,0.3875,9.671536028669005,10500,2.019003477471415e-05,2.4603312340332195e-05,0.9994780894835813,2.4179673346225172e-05,0.9994803293016772,0.05084118992090225,0.9781914949417114,0.9963884271162524,0.04912029579281807,0.9784730672836304,0.9966078621730912
0.7585998766319135,0.9725438252176777,0.9633392419603289,0.0016048936954800373,0.8725876927019861,0.375,9.41823066805443,11000,3.137315434287302e-05,3.298429510323331e-05,0.99926943928501,3.263356484239921e-05,0.9992707279425562,0.0446484312415123,0.9819774627685547,0.9972510778394053,0.04426536709070206,0.9817897081375122,0.997305139060735
0.7577224033439369,0.9728358501867274,0.9641128315761662,0.0017869314492262834,0.8727182461363181,0.39125,9.072916654806496,11500,2.8794345780625008e-05,2.3198241251520813e-05,0.9994963957254622,2.2318172341329046e-05,0.9995171819792712,0.043454889208078384,0.9819148778915405,0.9974541118379846,0.04203063249588013,0.9823529124259949,0.9976419932931725
0.7563279594540018,0.9730102804553696,0.9644916503071699,0.001570570259086625,0.8730736418895314,0.40125,9.042274451836064,12000,2.382708953518886e-05,3.05678513541352e-05,0.9994562344427318,3.0237863029469736e-05,0.9994725648667102,0.04470650106668472,0.9820400476455688,0.9971891239396251,0.04219190031290054,0.9828222990036011,0.99749341564523
0.7532615237601589,0.9734551186945126,0.9652889039198154,0.0012496088472660372,0.8720677207107541,0.4075,8.757031340979498,12500,3.054406988667324e-05,2.8973987355129793e-05,0.9994257249987581,2.8885928259114735e-05,0.9994345623453876,0.046280305832624435,0.9801313877105713,0.9973844836719827,0.04437486082315445,0.9806320667266846,0.9975555907873337
0.7522021989443517,0.9735865371375734,0.9657208628664311,0.0018406072941419597,0.8729030049049038,0.42125,8.377407259897263,13000,3.135565930278972e-05,2.5568855562596582e-05,0.9994969199384695,2.4960902010207064e-05,0.9995107444143952,0.04868152737617493,0.980413019657135,0.9972278744697702,0.048805661499500275,0.9805068969726562,0.9972799097456683
