pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss
0.12754015255341083,0.0472222125329979,-0.0067947193555331145,0.0071766303936034994,-0.005452210063804397,0.0025,23.128557190023173,1,0.1322057694196701
0.5586831316173815,0.9439564978038121,0.9016163005009128,0.009389868400135254,0.7650692571110754,0.0425,17.027545715119352,500,0.0013045452069491148
0.6105917621948602,0.9562644502515834,0.9263452377924363,0.008250159858158386,0.8195280337518659,0.07125,16.727888093512984,1000,0.00014043501869309694
0.633899711986684,0.9568513145462626,0.9302194596397457,0.006819943793115043,0.8336448390332584,0.085,16.334666477272695,1500,0.00011399145296309143
0.6536199037805028,0.9577779136771095,0.9339978351314789,0.0071192256580170305,0.8457099572957105,0.095,15.5436669905379,2000,7.279034616658464e-05
0.6703743921508531,0.9583270704974357,0.9366768992185583,0.006892573024765782,0.8537605561278343,0.11375,15.098833411696914,2500,7.304233440663666e-05
0.6891731312355556,0.9587578046772298,0.9394679272413299,0.006697330531019315,0.8612641667557445,0.125,14.64704217201435,3000,5.5082236940506846e-05
0.7060259976100924,0.9593538989215535,0.9418250561443381,0.006320274420649019,0.8665330457600636,0.14,14.184116203490003,3500,6.916189886396751e-05
0.7238683568700316,0.9596374960357824,0.9441091123828873,0.006008777434643906,0.8716735646523021,0.1525,13.865024438162575,4000,5.5615371820749715e-05
0.736694387664867,0.9607767108716277,0.946511261739562,0.006124683647722917,0.8755977649320679,0.15625,13.58223236220782,4500,4.2103965824935585e-05
0.7497561642040136,0.9613250954469164,0.9483073765489136,0.005408861144523074,0.8775154748092511,0.17,13.177484127314498,5000,7.81010021455586e-05
0.759266602150374,0.962302174463094,0.9501478860855903,0.005408592897986583,0.8802397522583476,0.2,13.045802752501801,5500,4.081854422111064e-05
0.7678319908043871,0.9622259974971371,0.9509699777811773,0.004969569649217959,0.8814737524421394,0.2075,12.943675362285184,6000,5.173518729861826e-05
0.7756426684226745,0.9636033313509912,0.9527131057053226,0.004813155830893818,0.8824981345648507,0.235,12.732436207041085,6500,5.653656262438744e-05
0.7802537875380482,0.9639073532307602,0.9535246083937251,0.004993535906740302,0.8822159998853665,0.23625,12.367484528995448,7000,5.375411274144426e-05
0.7852133177094698,0.965132592432808,0.9552591482391852,0.0046283900550332345,0.8850987853129375,0.26375,11.751770397855555,7500,3.8484307879116386e-05
0.7880022475055055,0.9657694685175638,0.9561889702797368,0.004381096111226221,0.8848114172988811,0.28,11.472796200323481,8000,3.984117938671261e-05
0.7899098643562341,0.9667747101277133,0.9575256630644174,0.004785318936653266,0.8870050246740484,0.295,11.473934542148912,8500,2.66316783381626e-05
0.7914862460113186,0.9670091220618806,0.9579984307656597,0.004497379100655644,0.8864020775602908,0.315,11.244696820071882,9000,3.210059367120266e-05
0.7920781714227139,0.9677558194046113,0.9589552577476328,0.004244032770464703,0.8867915533487448,0.32,10.7547793994707,9500,2.9997507226653397e-05
0.7920354934095852,0.968457920877015,0.9598917021495541,0.004006700859119346,0.886939119488079,0.32625,10.44884598210131,10000,3.435902181081474e-05
