pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss,distance_held_out_loss,distance_held_out_spearman,distance_in_distribution_loss,distance_in_distribution_spearman
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,1,0.11205104738473892,0.07322356104850769,-0.07592825201052716,0.07124398648738861,-0.014921329107404766
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,500,0.004841335117816925,0.015516089275479317,0.541579053188136,0.005054682958871126,0.8619231110944403
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,1000,0.0032582166604697704,0.01687714084982872,0.5300378360182746,0.0035082648973912,0.9130041395787369
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,1500,0.0033887550234794617,0.018259402364492416,0.5178401433297368,0.002579187974333763,0.9369229714439231
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,2000,0.0020134947262704372,0.019240891560912132,0.5149851478591303,0.002061309525743127,0.9515422457433732
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,2500,0.0016751873772591352,0.020190909504890442,0.5029830424873301,0.0017503590788692236,0.9578605167889009
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,3000,0.0011694638524204493,0.021011633798480034,0.49854772859223,0.001390847028233111,0.9666701602516528
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,3500,0.0009607920655980706,0.022010846063494682,0.48811868320337204,0.001101496396586299,0.9756020943301708
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,4000,0.0009822932770475745,0.022216632962226868,0.47771382058662254,0.0012222070945426822,0.9746300775072642
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,4500,0.0009862380102276802,0.023214157670736313,0.4774156297517846,0.0007657233509235084,0.9833465700207369
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,5000,0.0008192983805201948,0.023821735754609108,0.45600815132676725,0.0010274152737110853,0.9780950131041383
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,5500,0.0007928141276352108,0.02470979280769825,0.4537220267837657,0.0006708453875035048,0.9864023978704468
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,6000,0.000538146065082401,0.025139139965176582,0.45937832183713817,0.0005784062086604536,0.9888114457073531
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,6500,0.00047267135232686996,0.025213882327079773,0.4607275323934675,0.000519443245138973,0.9896236640588004
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,7000,0.0005994330858811736,0.026115870103240013,0.4464378334224938,0.00047850882401689887,0.9906676704463939
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,7500,0.00035816250601783395,0.026479315012693405,0.4364862155755097,0.00045508347102440894,0.9921989555152699
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,8000,0.0004472691216506064,0.026585398241877556,0.46395041842577045,0.000489942729473114,0.9913274646904007
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,8500,0.00038822623901069164,0.027087805792689323,0.45122155890365456,0.00043638801435008645,0.9911435481807167
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,9000,0.0002315416932106018,0.02707870863378048,0.4412194801737589,0.0003340965195093304,0.9944307199659462
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,9500,0.000259270949754864,0.026993542909622192,0.45730792304040646,0.00029985184664838016,0.9940670601655386
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,10000,0.00027755502378568053,0.026690788567066193,0.4592906069321451,0.0002706242667045444,0.9950948100705168
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,10500,0.00025355335674248636,0.027265721932053566,0.4583634409168327,0.000448545441031456,0.9934667072605826
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,11000,0.00025548614212311804,0.02689622901380062,0.4568459108025303,0.0002652636030688882,0.9948368299053338
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,11500,0.000228037140914239,0.027490602806210518,0.451948162222794,0.00028853697585873306,0.9948731327531265
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,12000,0.0002116813266184181,0.027155276387929916,0.45741436312283795,0.0003051572712138295,0.9937726619431291
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,12500,0.0003424700116738677,0.027043038979172707,0.46605838607277106,0.00037022028118371964,0.9925481746107878
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,13000,0.00014782938524149358,0.02771596983075142,0.45881986943467007,0.00033164696651510894,0.9937312497793223
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,13500,0.0002001074026338756,0.02747632935643196,0.45703631250042837,0.00017295233556069434,0.99663203912897
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,14000,0.0001601114490767941,0.027361292392015457,0.45565022718762,0.0002138889249181375,0.9957011833844688
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,14500,0.0001318496942985803,0.027104776352643967,0.4588326376967874,0.00019706948660314083,0.9959759236812337
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,15000,0.00035856894101016223,0.027028989046812057,0.4548318403922418,0.0002667848893906921,0.9945527546628963
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,15500,0.00018884698511101305,0.026561623439192772,0.47132916950458115,0.00023910737945698202,0.9964841508924356
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,16000,0.00017541401030030102,0.027292173355817795,0.4580735980753104,0.00013691143249161541,0.9975131316702773
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,16500,0.00016624759882688522,0.027073562145233154,0.45858884194340105,0.00014436755736824125,0.9970311298617185
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,17000,0.00013367715291678905,0.02736910805106163,0.4659909422657794,0.0001255938404938206,0.99767809747968
0.7453676229637395,0.4151315315026946,0.34033913247854686,0.022890415903756532,0.3164870710568731,0.01,16.070783080786494,17500,0.00010869726975215599,0.027543725445866585,0.46033499647131854,0.000114928770926781,0.9976828276345429
